0,0,0,1,1,1,0,0,0,81,1.5824,0,100
1,0,0,1,1,1,0,0,0,98,0.394094,0,200
1,0,1,1.1,0.9,1,0,2,0,174,0.769899,0,200
1,0,2.1,0.99,0.81,1.1,1,2,0,199,0.564816,0,400
1.99,0,2.1,0.99,0.81,1.21,2,0,0,285,1.4227,0,400
1.99,0,3.189,0.9801,0.6561,1.089,3,2,0,341,1.37537,0,400
1.99,0,4.26711,0.793881,0.531441,1.07811,5,2,0,357,1.4787,0,400
1.99,0,5.45303,0.714493,0.478297,1.18592,6,2,0,397,0.309555,0,800
2.70449,0,5.45303,0.714493,0.478297,1.30451,7,0,0,504,0.4952,0,800
2.70449,0,6.75754,0.785942,0.430467,1.30451,7,2,0,670,0.854477,0,800
2.70449,0,8.19251,0.707348,0.38742,1.43496,8,2,0,778,0.309229,0,1600
2.70449,0,9.77097,0.636613,0.348678,1.57846,9,2,0,1598,0.197019,0,3200
3.34111,0,9.77097,0.636613,0.348678,1.73631,10,0,0,3151,0.289037,0,3200
3.34111,0,11.5073,0.700274,0.313811,1.73631,10,2,0,3199,0.117549,14.7181,6400
4.04138,0,11.5073,0.700274,0.313811,1.90994,11,0,0,6375,0.179542,14.7181,6400
4.04138,0,13.4172,0.770302,0.28243,1.90994,11,2,0,6397,0.11092,14.7181,6400
4.81168,0,13.4172,0.770302,0.28243,2.10093,12,0,0,6400,0.111095,14.7181,6400
